text,label
已經一週了還沒到，麻煩協助處理,訂單物流
我信用卡刷不過，是系統問題嗎？,付款發票
我已付款但訂單顯示未付款,付款發票
可以用分期嗎？支援哪些銀行？,付款發票
我想改付款方式，怎麼操作？,付款發票
請問有提供統編發票嗎？,付款發票
發票可以開立公司抬頭嗎？,付款發票
我發票開錯了，能重開嗎？,付款發票
付款成功但沒有收到確認信,付款發票
我想用轉帳付款，有帳號嗎？,付款發票
你們支援LINE Pay/街口嗎？,付款發票
我被扣款兩次，請協助確認,付款發票
為什麼有一筆授權但沒有出貨？,付款發票
請問電子發票會寄到哪裡？,付款發票
我想查發票載具設定在哪,付款發票
可以拆單開兩張發票嗎？,付款發票
退款會退到哪裡？信用卡還是錢包？,付款發票
付款頁面一直錯誤，無法結帳,付款發票
我想申請付款證明/收據,付款發票
訂單金額怎麼跟結帳金額不同？,付款發票
海外卡可以刷嗎？一直被拒絕,付款發票
我忘記密碼了，收不到重設信,帳號其他
登入一直顯示錯誤，明明密碼沒錯,帳號其他
我想改綁定的手機號碼,帳號其他
會員資料在哪裡修改？,帳號其他
註冊時一直跳驗證失敗,帳號其他
我帳號被鎖了，怎麼解鎖？,帳號其他
可以幫我刪除帳號嗎？,帳號其他
我想改email，但找不到入口,帳號其他
為什麼一直被登出？,帳號其他
我的點數/會員等級不見了,帳號其他
我想查我的歷史訂單，但看不到,帳號其他
驗證碼一直收不到，是不是系統壞了,帳號其他
我用Google登入失敗，請協助,帳號其他
想換成Apple登入可以嗎？,帳號其他
我無法更新地址，按儲存沒反應,帳號其他
會員折扣沒有套用，怎麼回事,帳號其他
我想綁定載具但一直失敗,帳號其他
我之前用手機註冊，現在想用email登入,帳號其他
我的帳號疑似被盜用，有異常登入,帳號其他
請問會員中心在哪？我找不到入口,帳號其他
請問這個商品什麼時候補貨？,帳號其他
有沒有推薦的型號？我不知道怎麼選,帳號其他
你們客服電話幾點到幾點？,帳號其他
可以提供產品規格表嗎？,帳號其他
我想了解使用方法，有教學嗎？,帳號其他
請問有實體門市可以看嗎？,帳號其他
這個有保證正品嗎？,帳號其他
請問支援哪些尺寸/顏色？,帳號其他
有沒有優惠碼？或活動期間？,帳號其他
你們的退換貨規則在哪裡看？,帳號其他
可以開箱給我看嗎？我怕踩雷,帳號其他
這個適合送人嗎？包裝好看嗎？,帳號其他
我想要大量採購，有企業方案嗎？,帳號其他
請問可以客製化嗎？,帳號其他
這跟上一代差在哪？,帳號其他
我看不懂你們網站的說明,帳號其他
可以寄到離島嗎？,帳號其他
請問有提供試用嗎？,帳號其他
可以提供售後服務說明嗎？,帳號其他
在嗎？我有問題想問一下,帳號其他
可以改收件地址嗎？我填錯了,訂單物流
可以指定超商取貨嗎？,訂單物流
退貨單號哪裡看？我找不到欸,退款退貨
包裹外箱破損嚴重，裡面可能也壞了,訂單物流
商品有異味很重，懷疑品質問題,退款退貨
,訂單物流
   ,退款退貨
"

",付款發票
,帳號其他
我想退貨但!!! 真的很生氣!!! 😡😡,退款退貨
在嗎,帳號其他
？,訂單物流
我信用卡刷不過,
包裹顯示簽收但我沒收到,物流問題
   我想要大量採購，有企業方案嗎？   ,帳號其他
   可以拆單開兩張發票嗎？   ,付款發票
   海外卡可以刷嗎？一直被拒絕   ,付款發票
   我想改email，但找不到入口   ,帳號其他
   我之前用手機註冊，現在想用email登入   ,帳號其他
